system:index,dry_days,max_temp,mean_temp,min_temp,month,total_precip,year,.geo
0,23,297.05611991882324,294.4024879701676,291.42370160420734,1.0,0.040675435887710165,1958.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,23,299.3582140604655,295.626429716746,292.9413426717122,2.0,0.01938197769726102,1958.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,24,301.62824630737305,299.6563104198826,295.33620262145996,3.0,0.06828648525113934,1958.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,20,302.67822964986163,300.40910142262777,298.0531641642253,4.0,0.03153041396100065,1958.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,10,301.91779136657715,300.110943148213,298.6868152618408,5.0,0.10188194593276378,1958.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,3,299.67376708984375,298.0916009691026,295.6330229441325,6.0,0.3974839404224646,1958.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,4,298.4027614593506,296.8951168675576,295.2534745534261,7.0,0.24946943311685388,1958.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,3,298.7228425343831,297.283190675961,296.2808659871419,8.0,0.17652101547253451,1958.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,7,298.41791915893555,296.8307885275947,294.74175453186035,9.0,0.2175413069976848,1958.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,9,297.1915086110433,295.5276081331314,293.3982391357422,10.0,0.13270236353465137,1958.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,29,295.79686037699383,293.37857564290357,290.9807828267415,11.0,0.003750248478848306,1958.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,31,294.1702588399251,292.00118352008116,289.5540078481038,12.0,6.296391268811874E-4,1958.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,30,297.0927200317383,294.18172315371925,291.7305215199788,1.0,0.005458199640443695,1959.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,23,297.9124190012614,296.3557377088637,295.178035736084,2.0,0.013509175928163586,1959.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,22,299.1287956237793,297.23947617315474,290.42477162679035,3.0,0.06469560258128837,1959.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,20,301.5163383483887,299.9930923038059,296.8888676961263,4.0,0.041105558744099824,1959.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,6,301.22451146443683,298.56980914454306,295.8365008036296,5.0,0.17960187437216746,1959.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,8,300.19557507832843,298.63895185258656,297.3746802012126,6.0,0.14059393583914215,1959.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2,298.8376471201579,297.10065831420246,294.9219913482666,7.0,0.24242159159011933,1959.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,5,298.8436934153239,296.84157687361534,295.68876457214355,8.0,0.2101146092538606,1959.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2,297.72464752197266,296.38560267554385,294.7303638458252,9.0,0.4024793152387076,1959.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,12,296.77883593241376,295.39981803073675,294.201899210612,10.0,0.1494216025747086,1959.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,25,297.59056599934894,295.31301263173407,292.7527491251628,11.0,0.013393852210164425,1959.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,30,297.1713390350342,295.46556657360446,293.31057675679523,12.0,0.005136116446557537,1959.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,30,297.50794474283856,294.84705758863873,288.57958793640137,1.0,0.004545812401357097,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,28,298.21031125386554,296.43988843895926,293.3418261210124,2.0,0.002532368834291532,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,30,301.0330982208252,299.0586762582102,295.7021369934082,3.0,0.005059791826358406,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,18,303.3721529642741,300.46377881368,297.3638521830241,4.0,0.0505737277548306,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,5,302.35174624125165,298.9236646877822,296.34390513102215,5.0,0.2149200434831542,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,6,299.35532569885254,298.069023153517,296.4190864562988,6.0,0.1584135810051599,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,9,298.99254989624023,297.7677066351777,295.44630241394043,7.0,0.137538781024503,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,8,299.2953923543294,297.22508397666354,295.35810470581055,8.0,0.31614626179001704,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,3,297.95850626627606,296.5759007983737,294.9105580647786,9.0,0.25524125397371833,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,7,297.5240999857585,295.6342979144025,294.2363700866699,10.0,0.278848109757444,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,19,296.943026860555,295.188048002455,292.428378423055,11.0,0.04547739461473199,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,27,295.024175008138,292.48858164715506,290.55984751383465,12.0,0.017569610640286726,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,30,296.7826436360677,293.0675425375661,287.71023114522296,1.0,0.0018673690413884003,1961.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,14,297.99062792460126,296.01310098738895,293.2607822418213,2.0,0.06923077043768089,1961.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,24,300.47294489542645,297.7830222550259,296.118226369222,3.0,0.04395043720779768,1961.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,18,301.24612108866376,299.18025018903944,295.1628608703613,4.0,0.05863011494511383,1961.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,6,299.22851435343426,297.7709290289109,295.6757272084554,5.0,0.27505785864127574,1961.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,5,298.762020111084,297.3752807617187,295.5644925435384,6.0,0.14411669619993717,1961.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,4,298.2628828684489,296.54962016690155,294.37777010599774,7.0,0.25195935381222867,1961.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,3,298.6996332804362,296.9772476073235,295.2149308522542,8.0,0.24165197762570756,1961.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,4,297.6214008331299,296.31383190155043,294.62547874450684,9.0,0.32593658561525274,1961.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,4,297.4280776977539,295.41386758127527,293.7443389892578,10.0,0.16262969507748082,1961.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,20,296.24903678894043,294.56931904686826,291.5675512949626,11.0,0.02635749010672228,1961.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,31,296.2453047434489,293.6694720688687,289.63660367329913,12.0,0.0035556928516093933,1961.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,24,295.90394401550293,292.42267311260264,289.2599531809489,1.0,0.04491665502547448,1962.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,26,297.9859797159831,294.69719814118884,291.38802274068195,2.0,0.0036736900759528623,1962.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,21,300.60565249125165,297.7710699471095,292.475643157959,3.0,0.09726920911477777,1962.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,18,300.885248819987,298.95975246429435,296.47413063049316,4.0,0.06249796077207748,1962.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,8,300.7475395202637,299.28615414199004,297.3187662760417,5.0,0.14687392382327147,1962.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,5,299.2353407541911,297.9258036507501,296.2871233622233,6.0,0.12576534174755238,1962.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,5,299.5101235707601,297.4569441272366,294.8276850382487,7.0,0.28172676817551334,1962.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,2,298.1870009104411,296.8388339011901,295.00321133931476,8.0,0.22002564883534248,1962.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,1,298.46875127156574,296.2478924009535,293.7007999420166,9.0,0.41782424774790883,1962.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,11,297.19995880126953,295.6659416280767,293.56078910827637,10.0,0.13007810768103667,1962.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,27,297.1541633605957,294.8024138344659,292.08592859903973,11.0,0.010097770799607275,1962.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,30,296.11385981241864,292.3954963889173,288.8758792877197,12.0,0.0016562877107695329,1962.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,30,295.7258440653483,291.373151820193,288.1247978210449,1.0,0.0022466839254740023,1963.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,22,297.1944891611735,295.5284327098302,292.19576263427734,2.0,0.015492225765264322,1963.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,17,300.2029806772868,297.04347532538964,292.92933082580566,3.0,0.07116354498538158,1963.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,18,301.66315269470215,299.2140573289659,294.6351674397786,4.0,0.05845269706493994,1963.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,19,302.7434336344401,300.8248169191422,298.9569606781006,5.0,0.0470185917135062,1963.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,8,299.0315850575765,297.9346760219998,295.82155354817706,6.0,0.16118667100289485,1963.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,2,298.53622754414874,296.1913070883802,294.36806805928546,7.0,0.39788201154349423,1963.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,8,298.3012917836507,297.16817712271086,295.3228009541829,8.0,0.1853882959786688,1963.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,2,298.3873125712077,296.5851371977065,294.8226610819499,9.0,0.32212227004042404,1963.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,3,296.99304580688477,295.40595928315196,294.1837952931722,10.0,0.2740987578204468,1963.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,12,295.81891377766925,294.56981332567,293.5121784210205,11.0,0.09868991869581833,1963.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,25,294.50766309102374,292.4059958919402,289.0880552927653,12.0,0.030148099383950466,1963.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,23,295.69114621480304,293.9136303522253,292.3555901845296,1.0,0.017843595835216775,1964.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,26,298.3039557139079,295.72725484563017,292.1133270263672,2.0,0.03786449610697673,1964.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,26,300.19968668619794,298.2224276758009,296.396453221639,3.0,0.02958746237070997,1964.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,19,301.61279042561847,300.1534525553385,297.82068634033203,4.0,0.04776960174861955,1964.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,1,299.04564158121747,297.2650181144796,295.4042320251465,5.0,0.350475911610431,1964.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,5,298.5179697672526,297.5479136572943,295.9186210632324,6.0,0.22563057013781318,1964.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,0,298.5548865000407,297.21462588156425,294.7099666595459,7.0,0.25597852297287815,1964.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,9,298.83484268188477,297.12449346562875,295.17267354329425,8.0,0.1926429138465373,1964.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,2,298.3775126139323,296.6373381720649,294.43422508239746,9.0,0.31268888239022985,1964.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,3,297.22557131449383,295.86393879305933,294.4378312428792,10.0,0.19495377038522577,1964.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,18,295.96445592244464,293.468503888448,290.6215279897054,11.0,0.05872791985516557,1964.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,27,294.3395799001058,291.48516974910615,287.72602399190265,12.0,0.01199763036943935,1964.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,29,295.70984649658203,292.34121847665443,289.2424481709798,1.0,0.004646739933185984,1965.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,17,297.7077045440674,295.74952472959245,293.17291831970215,2.0,0.07300093162679744,1965.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,24,299.50268427530926,296.75556068010223,293.8243179321289,3.0,0.058346380905113904,1965.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,16,302.0700403849284,299.1719166013929,296.42446835835773,4.0,0.04683240410478007,1965.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,2,302.06626001993817,297.9474506788357,296.46362050374347,5.0,0.24993745248650612,1965.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,0,297.8097979227702,296.6891660902235,294.96157773335773,6.0,0.3612700457898832,1965.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,10,298.77189954121906,297.1439610142862,295.32551765441895,7.0,0.18340872769281802,1965.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,3,298.04294459025067,296.9100078254619,295.56899388631183,8.0,0.27000837142211154,1965.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,4,297.33155632019043,296.2859115812514,294.8987166086833,9.0,0.28908031187595995,1965.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,5,296.72880427042645,295.6898358047649,294.6851399739583,10.0,0.18588994976644457,1965.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,22,296.6905829111735,294.76590432061096,292.9089813232422,11.0,0.030765002424399057,1965.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,27,296.52271461486816,294.39066484923,291.22643343607587,12.0,0.01094770115957644,1965.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,26,297.42528406778973,295.369320325954,290.2846450805664,1.0,0.030646096730947647,1966.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,16,297.67698669433594,295.97578312101814,293.4372437795003,2.0,0.09227025490179486,1966.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,27,301.59520785013837,298.38595433388986,295.3665370941162,3.0,0.03045653311217933,1966.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,18,303.5685393015544,300.86219876607265,297.3269411722819,4.0,0.034880519965192036,1966.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,7,303.10408274332684,297.96407281198805,295.58549372355145,5.0,0.39294261172081946,1966.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,1,298.51019223531085,297.4175557666355,295.9956359863281,6.0,0.2358085993767851,1966.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,1,298.75553131103516,297.09428422169015,294.98344230651855,7.0,0.3437251865214499,1966.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,2,298.2656733194987,297.14201408304206,295.8062909444173,8.0,0.3196578199775182,1966.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,6,297.90807088216144,296.12322745853,294.2862663269043,9.0,0.332785200391168,1966.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,10,297.70255851745605,296.20224007227085,295.12278683980304,10.0,0.11377912987938998,1966.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,23,297.06493695576984,294.8668326271905,292.81774775187176,11.0,0.029113594521792407,1966.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
