system:time_start,SPEI_01_month,SPEI_03_month,SPEI_06_month,SPEI_12_month
"Jan 1, 2008",0.02,-1.154,-1.008,0.178
"Feb 1, 2008",1.686,0.908,-0.019,0.43
"Mar 1, 2008",-0.522,0.487,0.212,0.449
"Apr 1, 2008",0.987,0.988,0.275,0.565
"May 1, 2008",0.727,0.804,0.906,-0.204
"Jun 1, 2008",0.059,0.965,0.949,-0.174
"Jul 1, 2008",-0.352,0.339,0.763,-0.153
"Aug 1, 2008",-0.611,-0.532,0.254,0.155
"Sep 1, 2008",1.108,0.189,0.78,0.711
"Oct 1, 2008",0.973,0.893,0.806,0.796
"Nov 1, 2008",0.9,1.477,0.716,1.041
"Dec 1, 2008",0.494,1.1,0.751,1.107
"Jan 1, 2009",-0.398,0.703,0.959,1.138
"Feb 1, 2009",-1.808,-1.097,1.224,0.872
"Mar 1, 2009",1.164,0.274,1.009,1.105
"Apr 1, 2009",0.586,0.599,0.758,0.974
"May 1, 2009",1.048,1.262,0.967,1.027
"Jun 1, 2009",0.815,1.235,1.135,1.177
"Jul 1, 2009",-0.04,1.02,1.045,1.226
"Aug 1, 2009",0.772,0.75,1.319,1.501
"Sep 1, 2009",-0.445,0.067,0.898,1.157
"Oct 1, 2009",0.591,0.433,0.89,1.038
"Nov 1, 2009",-1.295,-0.338,0.281,0.745
"Dec 1, 2009",-1.37,-0.184,-0.066,0.678
"Jan 1, 2010",1.64,-0.591,0.178,0.851
"Feb 1, 2010",-1.643,-0.192,-0.375,0.848
"Mar 1, 2010",-1.35,-0.852,-0.463,0.494
"Apr 1, 2010",-1.106,-1.639,-1.639,0.05
"May 1, 2010",-1.508,-1.897,-1.803,-0.712
"Jun 1, 2010",1.052,-0.953,-1.097,-0.644
"Jul 1, 2010",1.088,0.173,-0.737,-0.348
"Aug 1, 2010",0.666,1.339,-0.261,-0.386
"Sep 1, 2010",0.064,0.804,-0.031,-0.241
"Oct 1, 2010",1.469,1.186,0.931,0.143
"Nov 1, 2010",-1.353,0.667,1.22,0.117
"Dec 1, 2010",1.332,0.94,1.077,0.236
"Jan 1, 2011",-0.025,-0.753,0.85,0.111
"Feb 1, 2011",0.756,0.827,0.783,0.248
"Mar 1, 2011",2.216,2.159,1.712,0.954
"Apr 1, 2011",1.552,2.367,1.879,1.573
"May 1, 2011",1.422,2.366,2.344,2.111
"Jun 1, 2011",1.611,2.096,2.414,2.168
"Jul 1, 2011",2.163,2.37,2.624,2.317
"Aug 1, 2011",1.562,2.675,2.664,2.453
"Sep 1, 2011",0.182,1.95,2.494,2.509
"Oct 1, 2011",0.442,1.143,2.183,2.309
"Nov 1, 2011",-0.863,0.047,1.764,2.416
"Dec 1, 2011",-0.244,-0.091,1.474,2.364
"Jan 1, 2012",1.193,-0.386,0.889,2.515
"Feb 1, 2012",-0.596,0.119,0.045,2.503
"Mar 1, 2012",-0.222,-0.167,-0.145,2.145
"Apr 1, 2012",0.113,-0.311,-0.532,1.855
"May 1, 2012",-0.074,-0.152,-0.161,1.403
"Jun 1, 2012",-1.147,-0.623,-0.627,0.811
"Jul 1, 2012",0.247,-0.547,-0.565,0.236
"Aug 1, 2012",-1.199,-1.131,-0.941,-0.616
"Sep 1, 2012",1.381,0.363,-0.147,-0.181
"Oct 1, 2012",-0.781,-0.195,-0.482,-0.603
"Nov 1, 2012",0.949,0.691,-0.283,-0.311
"Dec 1, 2012",-0.66,-0.373,0.04,-0.323
"Jan 1, 2013",1.727,1.177,0.218,-0.245
"Feb 1, 2013",-0.394,0.636,0.766,-0.244
"Mar 1, 2013",0.421,0.702,-0.028,-0.152
"Apr 1, 2013",-0.666,-0.568,0.149,-0.361
"May 1, 2013",-1.135,-1.056,-0.855,-0.636
"Jun 1, 2013",0.896,-0.562,-0.269,-0.102
"Jul 1, 2013",1.084,0.363,0.004,0.133
"Aug 1, 2013",0.841,1.368,0.411,0.665
"Sep 1, 2013",1.386,1.622,0.89,0.689
"Oct 1, 2013",0.633,1.431,1.211,1.084
"Nov 1, 2013",0.397,1.286,1.579,0.993
"Dec 1, 2013",0.875,0.624,1.509,1.044
"Jan 1, 2014",-0.33,0.335,1.339,0.943
"Feb 1, 2014",-1.208,-0.61,1.103,0.895
"Mar 1, 2014",-0.035,-0.75,0.264,0.82
"Apr 1, 2014",0.545,0.021,0.084,1.073
"May 1, 2014",-0.691,-0.252,-0.402,1.142
"Jun 1, 2014",-0.735,-0.512,-0.707,0.8
"Jul 1, 2014",-0.616,-1.093,-0.821,0.423
"Aug 1, 2014",1.22,0.02,-0.058,0.558
"Sep 1, 2014",-1.266,-0.392,-0.624,-0.346
"Oct 1, 2014",-0.385,-0.329,-0.891,-0.704
"Nov 1, 2014",-0.712,-1.297,-0.816,-0.894
"Dec 1, 2014",0.346,-0.648,-0.654,-0.913
"Jan 1, 2015",1.203,-0.132,-0.369,-0.815
"Feb 1, 2015",0.234,0.734,-1.087,-0.737
"Mar 1, 2015",1.059,1.092,-0.075,-0.544
"Apr 1, 2015",-0.55,0.007,-0.156,-0.813
"May 1, 2015",-2.09,-1.456,-1.201,-1.201
"Jun 1, 2015",-1.789,-2.527,-1.879,-1.498
"Jul 1, 2015",-0.463,-2.471,-2.004,-1.495
"Aug 1, 2015",-0.416,-1.41,-2.156,-1.95
"Sep 1, 2015",-0.321,-0.681,-2.106,-1.767
"Oct 1, 2015",-0.173,-0.551,-1.858,-1.712
"Nov 1, 2015",0.414,-0.305,-1.112,-1.547
"Dec 1, 2015",1.033,0.007,-0.507,-1.509
"Jan 1, 2016",1.103,0.772,-0.267,-1.509
"Feb 1, 2016",-1.394,0.238,-0.254,-1.576
"Mar 1, 2016",-0.968,-0.917,-0.325,-1.791
"Apr 1, 2016",-1.804,-1.933,-1.306,-1.932
"May 1, 2016",-0.394,-1.479,-1.335,-1.477
"Jun 1, 2016",-0.385,-1.29,-1.394,-1.123
"Jul 1, 2016",-0.187,-0.52,-1.438,-1.073
"Aug 1, 2016",0.086,-0.331,-1.232,-0.958
"Sep 1, 2016",0.257,0.021,-0.841,-0.812
"Oct 1, 2016",1.321,0.929,0.359,-0.225
"Nov 1, 2016",2.002,1.82,1.1,0.279
"Dec 1, 2016",0.138,2.048,1.283,0.238
"Jan 1, 2017",2.048,2.238,1.717,0.39
"Feb 1, 2017",-0.316,1.219,1.927,0.431
"Mar 1, 2017",1.227,1.538,2.152,0.746
"Apr 1, 2017",0.038,0.431,1.827,1.123
"May 1, 2017",2.46,1.994,2.065,1.872
"Jun 1, 2017",2.317,2.344,2.43,2.272
"Jul 1, 2017",-0.095,2.398,2.032,2.226
"Aug 1, 2017",1.416,1.925,2.211,2.415
"Sep 1, 2017",0.52,1.007,2.23,2.493
"Oct 1, 2017",1.194,1.577,2.412,2.451
"Nov 1, 2017",0.204,1.061,1.76,2.279
"Dec 1, 2017",2.218,1.26,1.385,2.335
"Jan 1, 2018",0.647,0.843,1.607,2.352
"Feb 1, 2018",1.269,1.7,1.403,2.464
"Mar 1, 2018",0.266,0.756,1.294,2.358
"Apr 1, 2018",1.461,1.452,1.526,2.654
"May 1, 2018",0.098,0.957,1.302,1.947
"Jun 1, 2018",-0.129,0.854,0.935,1.474
"Jul 1, 2018",0.306,0.17,0.91,1.522
"Aug 1, 2018",0.174,0.083,0.778,1.232
"Sep 1, 2018",-1.461,-0.747,0.051,0.734
"Oct 1, 2018",-0.833,-1.263,-0.834,0.048
"Nov 1, 2018",-0.271,-1.541,-0.96,-0.052
"Dec 1, 2018",0.842,-0.792,-0.965,-0.16
"Jan 1, 2019",1.019,0.194,-1.085,-0.124
"Feb 1, 2019",0.284,0.793,-1.314,-0.249
"Mar 1, 2019",-1.529,-0.75,-0.949,-0.463
"Apr 1, 2019",-1.028,-1.355,-1.108,-1.123
"May 1, 2019",-0.643,-1.375,-1.112,-1.265
"Jun 1, 2019",-0.626,-1.198,-1.275,-1.377
"Jul 1, 2019",-1.802,-1.585,-1.896,-1.845
"Aug 1, 2019",0.027,-1.19,-1.873,-1.917
"Sep 1, 2019",-0.678,-1.243,-1.651,-1.766
"Oct 1, 2019",-1.461,-1.254,-1.758,-1.966
"Nov 1, 2019",-1.15,-1.63,-1.739,-2.029
"Dec 1, 2019",-1.411,-1.651,-1.737,-2.1
"Jan 1, 2020",-0.725,-1.497,-1.461,-2.147
"Feb 1, 2020",-1.42,-1.855,-1.791,-2.184
"Mar 1, 2020",-0.569,-1.278,-1.865,-2.085
"Apr 1, 2020",0.121,-0.551,-1.153,-1.817
"May 1, 2020",-1.358,-1.09,-1.358,-1.947
"Jun 1, 2020",0.524,-0.521,-0.863,-1.757
"Jul 1, 2020",-0.737,-0.937,-0.985,-1.57
"Aug 1, 2020",0.872,0.344,-0.401,-1.364
"Sep 1, 2020",-0.574,-0.262,-0.54,-1.393
"Oct 1, 2020",1.29,0.874,0.073,-0.402
"Nov 1, 2020",-0.488,0.326,0.447,-0.341
"Dec 1, 2020",-0.721,0.78,0.24,-0.309
"Jan 1, 2021",-0.127,-0.705,0.554,-0.28
"Feb 1, 2021",0.655,0.008,0.283,-0.158
"Mar 1, 2021",-0.281,-0.19,0.589,-0.126
"Apr 1, 2021",2.357,2.084,1.588,0.773
"May 1, 2021",-1.409,0.873,0.766,0.732
"Jun 1, 2021",-1.102,0.426,0.273,0.347
"Jul 1, 2021",0.839,-1.049,0.593,0.714
"Aug 1, 2021",-1.059,-0.778,0.128,0.226
"Sep 1, 2021",1.131,0.521,0.637,0.775
"Oct 1, 2021",0.833,0.625,-0.19,0.597
"Nov 1, 2021",-0.147,1.094,0.267,0.63
"Dec 1, 2021",-0.832,0.435,0.596,0.626
"Jan 1, 2022",0.962,-0.094,0.479,0.714
"Feb 1, 2022",2.171,1.892,1.506,0.965
"Mar 1, 2022",1.121,2.007,1.3,1.154
"Apr 1, 2022",0.474,1.516,1.201,0.358
"May 1, 2022",1.132,1.229,1.601,1.071
"Jun 1, 2022",0.262,1.029,1.564,1.35
"Jul 1, 2022",2.069,1.819,1.958,1.632
"Aug 1, 2022",1.156,1.883,1.854,1.995
"Sep 1, 2022",1.889,2.467,2.262,2.211
"Oct 1, 2022",0.715,1.89,2.245,2.176
"Nov 1, 2022",1.283,1.96,2.222,2.396
