"Tag","treeID","Species","spfull","williams_dec","yr","sens.prop","cii_min1","calcDBH_min1_scaled","calcDBH_min1_scaled_sp","twi","twi_scaled","twi_scaled_sp","tpi","tpi_scaled","tpi_scaled_sp"
32,"HKK.32","PTERGR","Pterospermum grandiflorum",3.88,2010,-0.274708502570565,4,-0.156770122803018,0.640868268318119,-0.613136947154999,-1.0027815413341,-1.47584441683026,NA,NA,NA
427,"HKK.427","GARUPI","Garuga pinnata",3.97,2010,2.44182685908525,5,0.495654793143094,1.14387721023048,0.903740704059601,-0.0954658890844342,-0.215197857102674,NA,NA,NA
445,"HKK.445","LAGETO","Lagerstroemia tomentosa",3.65,2010,-0.693831631835887,5,1.24205430669534,0.0203126074500814,0.399079322814941,-0.39732752566572,-0.704216519001446,NA,NA,NA
953,"HKK.953","TETRNU","Tetrameles nudiflora",4,2010,0.160747375151476,5,0.463398502106844,0.217914828854948,2.31706142425537,0.749907506756426,0.753210228975985,NA,NA,NA
1003,"HKK.1003","ARYTLI","Arytera littoralis",0.22,2010,0.198998632656192,4,-0.824963070798723,-0.200221078846383,0.17265847325325,-0.532760453060025,-0.637475569016386,NA,NA,NA
1092,"HKK.1092","CROTRO","Croton roxburghii",0.486,2010,-1.12187735242055,4,-0.959927714323592,0.099304114772599,1.64810800552368,0.349775098611849,0.633319315894118,NA,NA,NA
1126,"HKK.1126","DIMOLO","Dimocarpus longan",0.29,2010,-0.366691813544645,3,-1.14369132570485,-1.01356782225035,1.64810800552368,0.349775098611849,0.0831696381398021,NA,NA,NA
1128,"HKK.1128","DIMOLO","Dimocarpus longan",0.29,2010,0.474156217789807,3,-1.18693641885771,-1.11080371216966,1.64810800552368,0.349775098611849,0.0831696381398021,NA,NA,NA
1131,"HKK.1131","POLYVI","Polyalthia viridis",1.62,2010,-0.738816488296939,2,-1.30257745782023,-1.875762075964,1.64810800552368,0.349775098611849,0.535534399380766,NA,NA,NA
1145,"HKK.1145","ARYTLI","Arytera littoralis",0.22,2010,0.282741628028288,3,-0.870721898763851,-0.394145642265398,0.754970133304596,-0.184452543566455,-0.407229295296927,NA,NA,NA
1156,"HKK.1156","POLYVI","Polyalthia viridis",1.62,2010,-0.883355494352756,4,-0.665318395221377,0.116490631837824,0.757696092128754,-0.182822019768727,-0.0965702718078477,NA,NA,NA
1162,"HKK.1162","POLYVI","Polyalthia viridis",1.62,2010,-0.81639938297731,5,-0.583632507701563,0.371863901755504,-0.707464754581451,-1.05920342615249,-1.13669002011294,NA,NA,NA
1195,"HKK.1195","PTERGR","Pterospermum grandiflorum",3.88,2010,-0.82213203973638,4,-0.984338215101775,-0.927816504496667,0.757696092128754,-0.182822019768727,-0.268603057101996,NA,NA,NA
1303,"HKK.1303","PTERGR","Pterospermum grandiflorum",3.88,2010,-0.854931769947052,4,-0.289389966668319,0.389482634216762,0.864599764347076,-0.118877920513929,-0.174456993423647,NA,NA,NA
1323,"HKK.1323","TETRNU","Tetrameles nudiflora",4,2010,-0.518275190251376,5,1.01237648976999,0.832775355606388,1.40971124172211,0.20717881533901,0.257332979590357,NA,NA,NA
1352,"HKK.1352","GARUPI","Garuga pinnata",3.97,2010,-2.90490450631399,4,0.366622796192388,0.96466608855189,1.40971124172211,0.20717881533901,0.0144758572847913,NA,NA,NA
1630,"HKK.1630","POLYVI","Polyalthia viridis",1.62,2010,-0.924117848646229,4,-0.546872293696355,0.486786764668717,0.161473795771599,-0.539450533130979,-0.519829319586336,NA,NA,NA
1632,"HKK.1632","SACCLI","Miliusa horsfieldii",3.385,2010,-0.330605727680285,5,0.635041980244678,0.976328175343383,0.161473795771599,-0.539450533130979,-0.566986584576383,NA,NA,NA
1633,"HKK.1633","PHOEPA","Phoebe paniculata",0.24,2010,-0.0249065301302642,3,-1.02373345095927,-0.400289134045351,-0.270744651556015,-0.797980653960026,-0.974124524285041,NA,NA,NA
1644,"HKK.1644","CHUKTA","Chukrasia tabularis",1.89,2010,-0.0948015295101073,4,-0.829824008903264,-1.34513744533041,0.858014762401581,-0.122816718959841,-0.197575612419968,NA,NA,NA
