"yr","median_inc_mm","median_inc_sp_mm"
2009,2.10511058596138,2.05573933636404
2010,1.5027092251187,1.60620813118018
2011,2.69668215037884,2.53139836646758
2012,1.94112004331183,1.7287732072501
2013,1.83565173592804,1.65751993025227
2014,1.71218519911641,1.53880318531337
2015,0.82036146350713,0.879797119368697
2016,1.18055026641388,1.3202955992952
2017,2.21137621025691,2.03348007141831
2018,2.01667185411329,2.08752163817985
2019,1.58593562980438,1.34916073802323
2020,1.27783072232875,1.18601209361738
2021,1.84752581559223,1.44943540183342
2022,1.99046030114032,2.11936856326307
